дом|house|Russian|Alphabet
Tom, is Tim there?|Том, Тим там?|Russian|Alphabet
Tim, this is Tom.|Тим, это Том.|Russian|Alphabet
This is mom.|Это мама.|Russian|Alphabet
Dima, this is a house.|Дима, это дом.|Russian|Alphabet
Мама, Дима — медик.|Mom, Dima is a doctor.|Russian|Alphabet
Я Анна, а это Том.|I am Anna, and this is Tom.|Russian|Alphabet
This is not a radio, mom.|Это не радио, мама.|Russian|Alphabet
Да, это я.|Yes, it is me.|Russian|Alphabet
Yes, it's me.|Да, это я.|Russian|Alphabet
Папа, это не мой мотор.|Dad, this is not my motor.|Russian|Alphabet
This is not Tom, but my dad.|Это не Том, а мой папа.|Russian|Alphabet
Это дом, Анна.|This is a house, Anna.|Russian|Alphabet
