daamat|دامَت|Arabic|Alphabet 4
jaar|جار|Arabic|Alphabet 4
yar|يَر|Arabic|Alphabet 4
bad|بَد|Arabic|Alphabet 4
rar|رَر|Arabic|Alphabet 4
dhadh|ذَذ|Arabic|Alphabet 4
jar|جَر|Arabic|Alphabet 4
duz|دُز|Arabic|Alphabet 4
zawj|زَوج|Arabic|Alphabet 4
zaz|زَز|Arabic|Alphabet 4
bar|بَر|Arabic|Alphabet 4
karj|كَرج|Arabic|Alphabet 4
badhaz|بَذَز|Arabic|Alphabet 4
ta|تَ|Arabic|Alphabet 4
katab|كَتَب|Arabic|Alphabet 4
mumtaaz|مُمتاز|Arabic|Alphabet 4
a big jacket|جاكيت كَبير|Arabic|Alphabet 4
duuz|دوز|Arabic|Alphabet 4
tajam|تَجَم|Arabic|Alphabet 4
bik|بِك|Arabic|Alphabet 4
du|دُ|Arabic|Alphabet 4
a house and a garage|بَيت وَكَراج|Arabic|Alphabet 4
jadaj|جَدَج|Arabic|Alphabet 4
dad|دَد|Arabic|Alphabet 4
a new jacket|جاكيت جَديد|Arabic|Alphabet 4
ma|مَ|Arabic|Alphabet 4
an amazing jacket|جاكيت مُمتاز|Arabic|Alphabet 4
a big door|باب كَبير|Arabic|Alphabet 4
taaj|تاج|Arabic|Alphabet 4
kad|كَد|Arabic|Alphabet 4
a garage and a house|كَراج وَبَيت|Arabic|Alphabet 4
a door and a jacket|باب وَجاكيت|Arabic|Alphabet 4
بَيت مُمتاز|an amazing house|Arabic|Alphabet 4
بَيت|a house|Arabic|Alphabet 4
a new door|باب جَديد|Arabic|Alphabet 4
جَبَر|jabar|Arabic|Alphabet 3
rak|رَك|Arabic|Alphabet 3
jakad|جَكَد|Arabic|Alphabet 3
بَبَب|babab|Arabic|Alphabet 3
jaj|جَج|Arabic|Alphabet 3
كَجَد|kajad|Arabic|Alphabet 3
kabar|كَبَر|Arabic|Alphabet 3
بَجَر|bajar|Arabic|Alphabet 3
kaj|كَج|Arabic|Alphabet 3
بَج|baj|Arabic|Alphabet 3
كَب|kab|Arabic|Alphabet 3
jak|جَك|Arabic|Alphabet 3
jabaj|جَبَج|Arabic|Alphabet 3
jajaj|جَجَج|Arabic|Alphabet 3
buuj|بوج|Arabic|Alphabet 3
جوب|juub|Arabic|Alphabet 3
كِعا|ki3aa|Arabic|Descrip. 1
bii3|بيع|Arabic|Descrip. 1
عَب|3ab|Arabic|Descrip. 1
ساج|saaj|Arabic|Descrip. 1
sammad|سَمَّد|Arabic|Descrip. 1
جَسَد|jasad|Arabic|Descrip. 1
3a|عَ|Arabic|Descrip. 1
3us|عُس|Arabic|Descrip. 1
ba3ii|بَعي|Arabic|Descrip. 1
سَمَك بارِد|a cold fish|Arabic|Descrip. 1
ا|aa|Arabic|Alphabet 1
راي|raay|Arabic|Alphabet 1
وَ|wa|Arabic|Alphabet 1
وا|waa|Arabic|Alphabet 1
raaw|راو|Arabic|Alphabet 1
رود|ruud|Arabic|Alphabet 1
را|raa|Arabic|Alphabet 1
wuu|وو|Arabic|Alphabet 1
ya|يَ|Arabic|Alphabet 1
وي|wii|Arabic|Alphabet 1
ري|rii|Arabic|Alphabet 1
zaar|زار|Arabic|Alphabet 1
duur|دور|Arabic|Alphabet 1
دو|duu|Arabic|Alphabet 1
زود|zuud|Arabic|Alphabet 1
داد|daad|Arabic|Alphabet 1
دَ|da|Arabic|Alphabet 1
دا|daa|Arabic|Alphabet 1
ii|ي|Arabic|Alphabet 1
زا|zaa|Arabic|Alphabet 1
zii|زي|Arabic|Alphabet 1
zuu|زو|Arabic|Alphabet 1
دود|duud|Arabic|Alphabet 1
و|uu|Arabic|Alphabet 1
زَ|za|Arabic|Alphabet 1
رَ|ra|Arabic|Alphabet 1
دي|dii|Arabic|Alphabet 1
ruu|رو|Arabic|Alphabet 1
ذَوب|dhawb|Arabic|Alphabet 2
kadh|كَذ|Arabic|Alphabet 2
جاك|jaak|Arabic|Alphabet 2
كَ|ka|Arabic|Alphabet 2
raaj|راج|Arabic|Alphabet 2
كو|kuu|Arabic|Alphabet 2
دوب|duub|Arabic|Alphabet 2
jad|جَد|Arabic|Alphabet 2
باج|baaj|Arabic|Alphabet 2
بَز|baz|Arabic|Alphabet 2
بَكَك|bakak|Arabic|Alphabet 3
بَي|bay|Arabic|Alphabet 3
بَكَر|bakar|Arabic|Alphabet 3
جَب|jab|Arabic|Alphabet 3
بَب|bab|Arabic|Alphabet 3
بوك|buuk|Arabic|Alphabet 3
يَب|yab|Arabic|Alphabet 3
kuub|كوب|Arabic|Alphabet 3
جَمَع|jama3|Arabic|Descrip. 1
كَبَس|kabas|Arabic|Descrip. 1
bassaam|بَسّام|Arabic|Descrip. 1
kabbuu|كَبّو|Arabic|Descrip. 1
تِرُع|tiru3|Arabic|Descrip. 1
سَ|sa|Arabic|Descrip. 1
جَيِّد|jayyid|Arabic|Descrip. 1
سَمَد|samad|Arabic|Descrip. 1
rub3|رُبع|Arabic|Descrip. 1
